"","Method","Balance","M.Z1","M.Z2","M.Z3","SD.Z1","SD.Z2","SD.Z3","Energy","M.CG","SD.CG"
"1","MH",2,0.184830950947007,0.126564322351523,0.244112719570241,0.230667817516253,0.125517582595952,0.187974319350345,0.174933419634911,0.55,0.437797517885457
"2","MH",2,0.062442888833448,0.290487065661281,0.0900083520806854,0.343420561288417,0.00191376848354796,0.194217860466104,0.248793906487473,0.5,0.471404520791032
"3","MH",2,0.229789830907089,0.380417739288187,0.57700374514845,0.09511095488538,0.262306920751842,0.473523151380635,0.396848896820644,0.65,0.337474278855276
"4","MH",2,0.162351510966965,0.145298939432431,0.296042330422622,0.272297410672997,0.23155586178376,0.036326696661493,0.278447809093749,0.6,0.394405318873308
"5","MH",4,0.153106719633181,0.0734676131568752,0.330551445261085,0.123361471875675,0.153460886156994,0.213572979958227,0.327527500209923,0.45,0.437797517885457
"6","MH",0,0.155413412207693,0.00140231576670369,0.744298033214353,0.274335335879739,0.112466057159016,0.315433273731528,0.397637403860471,0.7,0.34960294939005
"7","MH",0,0.177615328237364,0.409822720242614,0.170671885447798,0.335687707235708,0.0592970751212171,0.100271771094525,0.261774789072272,0.65,0.411636301174282
"8","MH",2,0.152360648753612,0.215613027184416,0.547874955935563,0.378602342309977,0.0519209036393651,0.390484602510972,0.413013600209743,0.6,0.394405318873308
"9","MH",0,0.0666057480890107,0.143527350593386,0.568839724781254,0.325870366330532,0.0010769734949474,0.19882259185348,0.309331113458934,0.65,0.411636301174282
"10","MH",0,0.0666057480890103,0.0758445837371626,0.145875180805688,0.0359369700980599,0.0347472066561101,0.114888134048131,0.231640373875265,0.75,0.263523138347365
"11","MH",0,0.244221076326376,0.120193617541001,0.291831653926864,0.305898325638423,0.109803592577811,0.0940668431109893,0.238400798488359,0.7,0.34960294939005
"12","MH",0,5.64363370851121e-16,0.233695799383962,0.0266718318224465,0.36401667997683,0.0489499714418455,0.168921014292123,0.167952892303175,0.75,0.263523138347365
"13","MH",2,0.152360648753613,0.359117223719668,0.151172432621022,0.15574140703178,0.0546884496752004,0.243703454235551,0.251240546422106,0.55,0.437797517885457
"14","MH",0,0.48844215265275,0.360484754542609,0.0928862288892789,0.0572730990977139,0.0084444296518098,0.17729230528165,0.301611425290308,0.65,0.411636301174282
"15","MH",0,0.0888076641186819,0.227667010077066,0.115747830966522,0.246817446238156,0.294786658604419,0.0907478291859301,0.212753790829882,0.7,0.34960294939005
"16","MH",2,0.242278408673779,0.494222437263891,0.365986714106437,0.31832908931323,0.221568109432302,0.282225876934201,0.384914324562272,0.6,0.394405318873308
"17","MH",2,0.0724337510468004,0.17040384831144,0.508896834211841,0.205645839823164,0.158315130114948,0.338768689510879,0.262885673070779,0.5,0.471404520791032
"18","MH",2,0.0724337510467992,0.219754458925108,0.476420985931141,0.332021569098263,0.135731765731883,0.0681905237578817,0.39966617686936,0.55,0.437797517885457
"19","MH",2,0.207310390927048,0.368204289235964,0.143298941932653,0.214929958560472,0.306427441241919,0.359229738399833,0.2317903227699,0.6,0.394405318873308
"20","MH",2,0.152360648753614,0.468212459077002,0.284624842239605,0.376664370084608,0.263905266404722,0.464173280553576,0.417166400210569,0.55,0.437797517885457
"21","MH",2,0.207310390927049,0.216192547427646,0.705140286732998,0.0134462837373839,0.0216218791403604,0.419575299566811,0.431006622915149,0.65,0.337474278855276
"22","MH",2,0.139872070986925,0.067280473530285,0.101313663137484,0.207445130660852,0.0524507203629234,0.123176784435872,0.204065469083685,0.6,0.394405318873308
"23","MH",0,0.0222019160296701,0.117298952202296,0.676219745968816,0.114640875587657,0.00341786224565777,0.3861199293399,0.34073258701954,0.7,0.34960294939005
"24","MH",0,0.155413412207694,0.128369691766378,0.0343527544782507,0.242265959500898,0.116837360418408,0.10512445431414,0.22866779595778,0.65,0.411636301174282
"25","MH",2,0.242278408673779,0.0682781423777662,0.212286611363556,0.131189883622507,0.207356574613271,0.119818740591286,0.22204989180451,0.6,0.394405318873308
"26","MH",0,0.222019160296705,0.19029005300329,0.00207262135676995,0.131320011320463,0.345701886538698,0.132498087348023,0.185466190031445,0.75,0.263523138347365
"27","MH",0,0.244221076326375,0.19195356806055,0.313264488137977,0.0364742207307718,0.163277119166964,0.411110621957279,0.269583672980314,0.7,0.34960294939005
"28","MH",2,0.0174840088733658,0.196741451349572,0.473619059037629,0.0273187046725993,0.0961519340085716,0.168535430943487,0.265202409730365,0.55,0.437797517885457
"29","MH",0,0.0444038320593399,0.156831345041564,0.377933721588424,0.0449440379814197,0.136559663012084,0.503264885722235,0.312748183799857,0.7,0.34960294939005
"30","MH",2,0.534511128414318,0.665774025979507,0.325868519911213,0.0510421512361958,0.0732353205486097,0.344054556571951,0.566006220482745,0.5,0.471404520791032
"31","MH",0,0.0888076641186819,0.0334678789259063,0.0281454068151599,0.00215418502209408,0.0974123723521967,0.102678312833787,0.179286872092875,0.75,0.263523138347365
"32","MH",0,0.222019160296705,0.0155687958415728,0.180052465782441,0.0384552705462009,0.140830962190396,0.395226864612289,0.240315412438069,0.6,0.459468291736341
"33","MH",0,0.0444038320593419,0.283456308674814,0.282589553519399,0.269768492412852,0.163975567638642,0.210476620978674,0.279834117043136,0.7,0.34960294939005
"34","MH",0,0.222019160296705,0.0155687958415728,0.180052465782441,0.0384552705462009,0.140830962190396,0.395226864612289,0.240315412438069,0.6,0.459468291736341
"35","MH",0,0.244221076326375,0.104151934666209,0.060583397292743,0.102484349773105,0.101276510649652,0.171612779589524,0.178012743739743,0.75,0.263523138347365
"36","MH",2,0.309716728613902,0.485381777486919,0.639188449075414,0.374064748774058,0.100832252013048,0.408903871573872,0.620630564208779,0.65,0.337474278855276
"37","MH",2,0.489552248454234,0.417876929405195,0.0322733336287301,0.502171390685651,0.0559157849861164,0.235617622633191,0.407139093737999,0.65,0.337474278855276
"38","MH",0,0.310826824415387,0.190367437997581,0.438060824750368,0.32064895327225,0.395615706537487,0.105471968699414,0.390221125932432,0.65,0.411636301174282
"39","MH",2,0.139872070986925,0.277795225829218,0.132186388959181,0.194212374658467,0.067427659981779,0.195071849656368,0.189019501576069,0.55,0.437797517885457
"40","MH",2,0.89418216809498,1.11739319514287,0.266118955268824,0.162622656113959,0.231925239286504,0.0321051863463573,1.08197898466662,0.45,0.497214463005877
"41","MH",2,0.297228150847214,0.536164023913523,0.442596880443766,0.152418042060673,0.178702258354973,0.45898725575586,0.389248216061168,0.65,0.337474278855276
"42","MH",0,0.288624908385717,0.204443884267152,0.481761725649254,0.210710248774856,0.306812646248638,0.471398512680303,0.309972978853563,0.75,0.263523138347365
"43","MH",2,0.409625350747422,0.909759114078244,0.041947564386805,0.0282532169954878,0.0999313950117526,0.246896979709236,0.544275112814572,0.55,0.437797517885457
"44","MH",0,0.0888076641186819,0.0205728897161946,0.0639924510878328,0.177846026571621,0.0408619585643231,0.0228504003501058,0.139331349796829,0.75,0.263523138347365
"45","MH",0,0.0222019160296708,0.348615001087017,0.831075145483313,0.184065066813425,0.028632554805557,0.503100635320445,0.575838067067402,0.65,0.411636301174282
"46","MH",0,0.133211496178023,0.0541074110057408,0.082310536267702,0.0275042865451931,0.211178588738367,0.343055535830322,0.230825856529467,0.65,0.411636301174282
"47","MH",2,0.274748710867174,0.317628800018889,0.250793364085737,0.0384827765795559,0.0628730248037327,0.196954867033537,0.280526153795684,0.55,0.437797517885457
"48","MH",0,0.199817244267035,0.2264984065003,0.436410778260954,0.0694036706947896,0.0140958970337794,0.0378869524750445,0.319904088548017,0.7,0.34960294939005
"49","MH",4,0.0570906412191543,0.221754883590176,0.255408240567142,0.0965827009632457,0.0198064137733835,0.0632587444221676,0.232644056106922,0.4,0.459468291736341
"50","MH",2,0.467072808474192,0.148058919390771,0.384018302682177,0.404302981223321,0.0955311396412141,0.545471476998787,0.349556005038436,0.5,0.471404520791032
"51","MH",0,5.64363370851121e-16,0.233695799383962,0.0266718318224465,0.36401667997683,0.0489499714418455,0.168921014292123,0.167952892303175,0.75,0.263523138347365
"52","MH",2,0.634419750547834,0.300338091795897,0.701696455176571,0.186836348570305,0.33619046893649,0.377665640696702,0.575280997811199,0.55,0.437797517885457
"53","MH",0,0.0888076641186817,0.197873647045105,0.478420979170472,0.00269273210626886,0.058971615856611,0.0420475049617491,0.396254062492845,0.7,0.34960294939005
"54","MH",0,0.133211496178024,0.00571769212266812,0.713903533545723,0.290050249604664,0.0305179836791518,0.429327982436478,0.416612236794803,0.75,0.263523138347365
"55","MH",0,0.0888076641186819,0.0134932669667868,0.485240592612025,0.306618907666767,0.103575748168074,0.207302811156929,0.26746499841172,0.65,0.411636301174282
"56","MH",4,0.43077483828997,0.573184274392379,0.297987844076948,0.130402379592766,0.25468144558417,0.401157987468714,0.396142973373335,0.45,0.437797517885457
"57","MH",0,0.155413412207694,0.189318247221349,0.056630259558496,0.0657435422995459,0.25609008582085,0.172343337293768,0.241600690160625,0.7,0.34960294939005
"58","MH",0,0.355230656474727,0.273459235278287,0.0724563455841492,0.204047925090806,0.144926573681048,0.11892630802445,0.284291947705813,0.65,0.411636301174282
"59","MH",0,0.355230656474728,0.106836087871617,0.0808314840969128,0.199048660268907,0.0387065631260419,0.436645720384695,0.256831761800046,0.7,0.34960294939005
"60","MH",0,0.133211496178023,0.114994531414962,0.0414064554230907,0.203213687894484,0.0672829845306188,0.101145459305964,0.154544123131659,0.75,0.263523138347365
"61","MH",0,0.266422992356045,0.0299968842685865,0.472972885003691,0.299786024520606,0.107446532169118,0.0505833574371495,0.389021050635411,0.7,0.34960294939005
"62","MH",0,0.088807664118683,0.12291092131032,0.478653558717205,0.338783316499154,0.0589432127807079,0.193547122939532,0.278922878791692,0.7,0.34960294939005
"63","MH",0,0.666057480890114,0.289243982379684,0.409701248488381,0.0292088518360761,0.343080444914007,0.140067152320916,0.480929606846019,0.65,0.411636301174282
"64","MH",0,0.177615328237364,0.0216693411921632,0.15905618420691,0.245409804936204,0.0965977809779326,0.00178664809999529,0.1753572812759,0.7,0.34960294939005
"65","MH",0,0.111009580148353,0.0145493333027914,0.12866168453828,0.260617367303333,0.0147024173423662,0.103957659735156,0.147267183371983,0.75,0.263523138347365
"66","MH",0,0.333028740445058,0.233588350247653,0.259442553597897,0.11115303260646,0.381640306509399,0.0152488030904441,0.281492096151195,0.7,0.34960294939005
"67","MH",0,0.0222019160296703,0.0227082109704506,0.18901461194296,0.0501851095495964,0.206020014598333,0.00155630961908071,0.192750314898127,0.75,0.263523138347365
"68","MH",0,0.310826824415387,0.496848239506936,0.150242002142668,0.0758072765992869,0.0795919043757665,0.042113433547335,0.262377443498178,0.65,0.411636301174282
"69","MH",2,0.219798968693737,0.16418576945941,0.0447391577275707,0.206207154480197,0.139414905601377,0.489411586706446,0.232188143416876,0.55,0.437797517885457
"70","MH",2,0.219798968693737,0.207839345455908,0.20457508838835,0.0393308077439578,0.0626640346492724,0.414764589455905,0.288307075186661,0.55,0.437797517885457
"71","MH",0,0.310826824415387,0.344428579246192,0.24791779021201,0.0468822328753037,0.0264173290241498,0.10035579027019,0.300480799726707,0.7,0.34960294939005
"72","MH",2,0.207310390927048,0.595470211340562,0.575027657161521,0.0957148499901831,0.420329510530739,0.564462445184988,0.57960136848776,0.6,0.394405318873308
"73","MH",2,0.0849223288134883,0.0195057726713392,0.266913541209735,0.000253864142965465,0.0378759990859008,0.0897386325773518,0.283086339763085,0.55,0.437797517885457
"74","MH",2,0.184830950947007,0.0920723387100041,0.670626462863485,0.368626595374811,0.188880921140452,0.436902715861679,0.387023753672867,0.55,0.437797517885457
"75","MH",0,0.155413412207693,0.197771293440753,0.356013066752171,0.251921622947611,0.18853207214894,0.163379432203306,0.308938908973956,0.6,0.459468291736341
"76","MH",2,0.229789830907091,0.0916995756763034,0.0773227425839867,0.0457376385088664,0.0929093965614399,0.0723322832024413,0.167153899396776,0.65,0.337474278855276
"77","MH",0,0.310826824415387,0.0237448700669492,0.146131942622674,0.0223462472495231,0.147845965782219,0.613676297687558,0.267735681185381,0.55,0.497214463005877
"78","MH",2,0.467072808474192,0.187883655953149,0.0139079852699844,0.353587418306809,0.119379233684105,0.0544278324239862,0.279381825679827,0.55,0.437797517885457
"79","MH",0,0.0444038320593408,0.139274157685195,0.00408583615770431,0.0204497170578528,0.0751015666354176,0.0902597269586595,0.153144964124655,0.75,0.263523138347365
"80","MH",0,0.0666057480890132,0.394931899278313,0.0259346978377918,0.0828305381008696,0.0315744702500675,0.166644632497185,0.274765388527469,0.65,0.411636301174282
"81","MH",2,0.354675608573986,0.100069832413498,0.0624301011997388,0.161034636010042,0.202112709583708,0.463079305757023,0.276313914276573,0.6,0.394405318873308
"82","MH",0,0.244221076326376,0.0616568380457314,0.205113941166683,0.0145063906885678,0.0766462417292183,0.10392377891267,0.149635191300698,0.7,0.34960294939005
"83","MH",2,0.117392631006883,0.0624553185969571,0.285043784194545,0.176691619064812,0.0422700951844268,0.0805287937934059,0.196435908202395,0.5,0.471404520791032
